"title","gmd_name","edition","isbn_issn","publisher_name","publish_year","collation","series_title","call_number","language_name","place_name","classification","notes","image","sor","authors","topics","item_code"
"Etika kristiani Jilid I: pendasaran teologi moral","Text","","979-9447-46-1","Ledalero","2003","15.5x22.5cm","","241 PES e","Indonesia","","241 PES e","","cover_etika-kristiani-jilid-i-pendasaran-teologi-moral-20240314111000.jpeg","","<Peschke, Karl-Heinz>","","<2160/22>"
"Hermeneutika: teori baru mengenai interpretasi","Text","","979-3477-17-2","Pustaka Pelajar","2005","","","121 PAL h","Indonesia","Yogyakarta","121 PAL h","","cover_hermeneutika-teori-baru-mengenai-interpretasi-20240913095703.jpg","","<Palmer,Richard>","","<1580/22><1583/22>"
"Seri Dokumen Gerejawi No. 114; Querida Amazonia (Amazon Tercinta)","Text","","","Departemen Dokumentasi dan Penerangan KWI","2020","67hlm; 22x15cm","","262.91 DOK q","Indonesia","Jakarta","262.91 DOK q","","cover_seri-dokumen-gerejawi-no-114-querida-amazonia-amazon-tercinta-20260518094254.jpg","","<KWI><R.P. Andreas Suparman, SCJ>","","<0405/26>"
"Seri Dokumen Gerejawi No. 122; Vademecum; Penanganan Perkara pelecehan Seksual Terhadap Anak-anak Oleh Klerikus","Text","","","Departemen Dokumentasi dan Penerangan KWI","2022","54hlm; 22x15cm","","262.91 DOK v","Indonesia","Jakarta","262.91 DOK v","","cover_seri-dokumen-gerejawi-no-122-vademecum-penanganan-perkara-pelecehan-20260518100820.jpg","","<KWI><Yohanes Driyanto [Pr]>","","<0412/26>"
"Kitab Hukum Kanonik (Codex Iuris Canonici) Edisi Resmi Bahasa Indonesia","Text","Cet. 7 , Ed.Revsi 2025","978-979-8595-16-5","Dept. DokPen KWI","2025","600hlm .; 14 cm x 21cm","","R 262.9 PAU k","Indonesia","Jakarta","R 262.9 PAU k","","cover_kitab-hukum-kanonik-codex-iuris-canonici-edisi-resmi-bahasa-indonesi-20260518105400.jpg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Yohanes Driyanto [Pr]>","","<0441/26>"
"Seri Dokumen Gerejawi No. 133; Perjalanan Katekumenat  Menuju Hidup Perkawinan","Text","","","Departemen Dokumentasi dan Penerangan KWI","2022","92hlm; 22x15cm","","262.91 DOK p","Indonesia","Jakarta","262.91 DOK p","","cover_seri-dokumen-gerejawi-no-133-perjalanan-katekumenat-menuju-hidup-pe-20260518105129.jpeg","","<KWI><Thomas Eddy Susanto [SCJ]>","","<0421/26>"
"Seri Dokumen Gerejawi No. 153; Dilexi Te","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2026","91 hlm .; 15 cm x 21 cm","","262.91 DOK d","Indonesia","Jakarta","262.91 DOK d","","cover_seri-dokumen-gerejawi-no-153-dilexi-te-20260518105050.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia><F.X. Adisusanto>","","<0440/26>"
"Seri Dokumen Gerejawi No. 132; Praedicate Evangelium; Wartakanlah Injil","Text","","","Departemen Dokumentasi dan Penerangan KWI","2022","127hlm; 22x15cm","","262.91 DOK p","Indonesia","Jakarta","262.91 DOK p","","cover_seri-dokumen-gerejawi-no-132-praedicate-evangelium-wartakanlah-inji-20260518104802.jpg","","<KWI><Postinus Gulo,OSC>","","<0420/26>"
"Seri Dokumen Gerejawi No. 152; Pesan-Pesan Paus Pada Hari Doa Sedunia Untuk Pemeliharaan Ciptaan","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2025","90hlm .; 15 cm x 21cm","","262.91 DOK p","Indonesia","Jakarta","262.91 DOK p","","cover_seri-dokumen-gerejawi-no-152-pesan-pesan-paus-pada-hari-doa-sedunia-20260518104714.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Thomas Eddy Susanto [SCJ]>","","<0439/26>"
"Seri Dokumen Gerejawi No. 131; Identitas Sekolah Katolik Untuk Budaya Dialog","Text","","","Departemen Dokumentasi dan Penerangan KWI","2022","58hlm; 22x15cm","","262.91 DOK i","Indonesia","Jakarta","262.91 DOK i","","cover_seri-dokumen-gerejawi-no-131-identitas-sekolah-katolik-untuk-budaya-20260518104517.jpg","","<KWI><Thomas Eddy Susanto [SCJ]>","","<0419/26>"
"Seri Dokumen Gerejawi No. 150; Pesan Kasih Paus Fransiskus Untuk Orang Muda","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2025","135hlm .; 15 cm x 21 cm","","262.91 DOK p","Indonesia","Jakarta","262.91 DOK p","","cover_seri-dokumen-gerejawi-no-150-pesan-kasih-paus-fransiskus-untuk-orang-20260518104440.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Bernadeta Harini Tri Prasati>","","<0438/26>"
"Seri Dokumen Gerejawi No. 149; Pesan Kasih Paus Benediktus XVI Untuk Orang Muda","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2025","111 hlm .; 15 cm x 21 cm","","262.91 DOK p","Indonesia","Jakarta","262.91 DOK p","","cover_seri-dokumen-gerejawi-no-149-pesan-kasih-paus-benediktus-xvi-untuk-o-20260518104202.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Bernadeta Harini Tri Prasati>","","<0437/26>"
"Seri Dokumen Gerejawi No. 148; Pesan Kasih Paus Yohanes Paulus II Untuk Orang Muda","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2025","170 hlm .; 15 cm x 21 cm","","262.91 DOK p","Indonesia","Jakarta","262.91 DOK p","","cover_seri-dokumen-gerejawi-no-148-pesan-kasih-paus-yohanes-paulus-ii-untu-20260518103605.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Bernadeta Harini Tri Prasati>","","<0436/26>"
"Seri Dokumen Gerejawi No. 130; Desiderio Desideravi","Text","","","Departemen Dokumentasi dan Penerangan KWI","2023","40hlm; 22x15cm","","262.91 DOK d","Indonesia","Jakarta","262.91 DOK d","","cover_seri-dokumen-gerejawi-no-130-desiderio-desideravi-20260518103352.jpeg","","<KWI><Thomas Eddy Susanto [SCJ]>","","<0418/26>"
"Seri Dokumen Gerejawi No. 147; Vos Estis Lux Mundi","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2025","25 hlm .; 15 cm x 21 cm","","262.91 DOK v","Indonesia","Jakarta","262.91 DOK v","","cover_seri-dokumen-gerejawi-no-147-vos-estis-lux-mundi-20260518103154.png","","<Gereja Katolik. Konferensi Waligereja Indonesia><Postinus Gulo [OSC]><Paulus Driyanto [Pr]><Martinus Hery Wahyu Adiyanto [Pr]>","","<0435/26>"
"Seri Dokumen Gerejawi No. 129; Humanae Vitae","Text","","","Departemen Dokumentasi dan Penerangan KWI","2022","35hlm; 22x15cm","","262.91 DOK h","Indonesia","Jakarta","262.91 DOK h","","cover_seri-dokumen-gerejawi-no-129-humanae-vitae-20260518103028.jpeg","","<KWI><Thomas Eddy Susanto [SCJ]>","","<0417/26>"
"Seri Dokumen Gerejawi No. 146; Antiqua Et Nova","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2025","86hlm .; 15 cm x 21 cm","","262.91 DOK a","Indonesia","Jakarta","262.91 DOK a","","cover_seri-dokumen-gerejawi-no-146-antiqua-et-nova-20260518102916.jpg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Thomas Eddy Susanto [SCJ]>","","<0434/26>"
"Seri Dokumen Gerejawi No. 127; Karunia Kesetiaan Sukacita Ketekunan","Text","","","Derpatemen Dokumentasi dan Penerangan KWI","2021","132hlm; 22x15cm","","262.91 DOK k","Indonesia","Jakarta","262.91 DOK k","","cover_seri-dokumen-gerejawi-no-127-karunia-kesetiaan-sukacita-ketekunan-20260518102656.jpg","","<KWI><Sr Caroline Nugroho MC>","","<0416/26>"
"Seri Dokumen Gerejawi No. 145; Sacramentum Caritatis (Sakramen Cinta Kasih)","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2025","132hlm .; 15 cm x 21cm","","262.91 DOK s","Indonesia","Jakarta","262.91 DOK s","","cover_seri-dokumen-gerejawi-no-145-sacramentum-caritatis-sakramen-cinta-k-20260518102627.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Thomas Eddy Susanto [SCJ]>","","<0433/26>"
"Seri Dokumen Gerejawi No. 144; Spes Non Confundit","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2025","46 hlm .; 15 cm x 21 cm","","262.91 DOK s","Indonesia","Jakarta","262.91 DOK s","","cover_seri-dokumen-gerejawi-no-144-spes-non-confundit-20260518102335.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Thomas Eddy Susanto [SCJ]>","","<0432/26>"
"Seri Dokumen Gerejawi No. 143; Dilexit Nos","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2025","132 hlm .; 15 cm x 21 cm","","262.91 DOK d","Indonesia","Jakarta","262.91 DOK d","","cover_seri-dokumen-gerejawi-no-143-dilexit-nos-20260518102109.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Albertus Bayu Christanto [SCJ]>","","<0431/26>"
"Seri Dokumen Gerejawi No. 126; Haurietis Aquas (Kamu Akan Menimba Air)","Text","","","Departemen Dokumentasi dan Penerangan KWI","2021","63hlm; 22x15cm","","262.91 DOK h","Indonesia","Jakarta","262.91 DOK h","","cover_seri-dokumen-gerejawi-no-126-haurietis-aquas-kamu-akan-menimba-air-20260518101957.jpeg","","<KWI><Cees Van Paassen, SCJ>","","<0415/26>"
"Seri Dokumen Gerejawi No. 142; Pedoman Pastoral Tentang Pelayanan Migran Lintas Budaya","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2024","45hlm .; 15 cm x 21 cm","","262.91 DOK p","Indonesia","Jakarta","262.91 DOK p","","cover_seri-dokumen-gerejawi-no-142-pedoman-pastoral-tentang-pelayanan-migr-20260518101706.jpg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Benardeta Harini Tri Prasati>","","<0430/26>"
"Seri Dokumen Gerejawi No. 125 ; Verbum Domini ( Sabda Tuhan)","Text","","","Departemen Dokumentasi dan Penerangan KWI","2021","172hlm; 21x15cm","","262.91 DOK v","Indonesia","Jakarta","262.91 DOK v","","cover_seri-dokumen-gerejawi-no-125-verbum-domini-sabda-tuhan-20260518101631.jpeg","","<Hadiwiyata><KWI>","","<0414/26>"
"Seri Dokumen Gerejawi No. 124; Fratelli Tutti; Saudara Sekalian","Text","","","Departemen Dokumentasi dan Penerangan KWI","2022","178hlm; 21x15cm","","262.91 DOK f","Indonesia","Jakarta","262.91 DOK f","","cover_seri-dokumen-gerejawi-no-124-fratelli-tutti-saudara-sekalian-20260518101235.jpg","","<KWI><Martin Harun, OFM>","","<0413/26>"
"Seri Dokumen Gerejawi No. 141; Dignitas Infinita","Text","","","Departemen Dokumentasi dan Penerangan KWI","2024","71 hlm .; 15 cm x 21 cm","","262.91 DOK d","Indonesia","Jakarta","262.91 DOK d","","cover_seri-dokumen-gerejawi-no-141-dignitas-infinita-20260518100714.jpg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Postinus Gulo [OSC]>","","<0429/26>"
"Seri Dokumen Gerejawi No. 120 ; Hidup Persaudaraan Dalam Komunitas ( La Vita Fraterna In Comunita)","Text","","","Departemen Dokumentasi dan Penerangan KWI","2022","95hlm; 22x15cm","","262.91 DOK m","Indonesia","Jakarta","262.91 DOK m","","cover_seri-dokumen-gerejawi-no-120-hidup-persaudaraan-dalam-komunitas-l-20260518100554.jpg","","<KWI><R.P. Andreas Suparman, SCJ>","","<0411/26>"
"Seri Dokumen Gerejawi No. 140; Verso Una Piena Presenza; Menuju Kehadiran Penuh","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2024","67 hlm .; 15 cm x 21 cm","","262.91 DOK v","Indonesia","Jakarta","262.91 DOK v","","cover_seri-dokumen-gerejawi-no-140-verso-una-piena-presenza-menuju-kehadi-20260518100252.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Benardeta Harini Tri Prasati>","","<0428/26>"
"Seri Dokumen Gerejawi No. 151; Dilecti Amici","Text","","","Departemen Dokumentasi dan Penerangan KWI","2025","64hlm; 22x15cm","","262.91 DOK d","Indonesia","Jakarta","262.91 DOK d","","cover_seri-dokumen-gerejawi-no-151-dilecti-amici-20260518100243.jpeg","","<KWI><Thomas Eddy Susanto [SCJ]>","","<0410/26>"
"Seri Dokumen Gerejawi No. 118; Oeconomicae Et Pecuniariae Quaestiones (Masalah-masalah Ekonomi dan Keuangan)","Text","","","Departemen Dokumentasi dan Penerangan KWI","2020","46hlm; 22x15cm","","262.91 DOK o","Indonesia","Jakarta","262.91 DOK o","","cover_seri-dokumen-gerejawi-no-118-oeconomicae-et-pecuniariae-quaestiones-20260518095913.jpg","","<KWI><Ignatius Hendro Setiawan>","","<0409/26>"
"Seri Dokumen Gerejawi No. 139; Fiducia Supplicans","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2024","61hlm .; 15 cm x 21 cm","","262.91 DOK f","Indonesia","Jakarta","262.91 DOK f","","cover_seri-dokumen-gerejawi-no-139-fiducia-supplicans-20260518095857.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Postinus Gulo [OSC]>","","<0427/26>"
